"Date","Open","High","Low","Close","Change","Change%","Volume('000 shares)"
"2021/10/07","25.05","25.25","24.9","25.2","0.3999999999999986","1.61","37"
"2021/10/06","24.95","24.95","24.75","24.8","-0.14999999999999858","-0.60","50"
"2021/10/05","25.1","25.1","24.5","24.95","-0.1999999999999993","-0.80","104"
"2021/10/04","25.9","25.9","25.1","25.15","-0.25","-0.98","169"
"2021/10/01","25.9","25.9","25.4","25.4","-0.40000000000000213","-1.55","140"
"2021/09/30","25.95","25.95","25.8","25.8","0.05000000000000071","0.19","69"
"2021/09/29","26","26","25.75","25.75","-0.3000000000000007","-1.15","95"
"2021/09/28","26.05","26.1","26","26.05","0","0.00","49"
"2021/09/27","26.1","26.15","26.05","26.05","0.05000000000000071","0.19","53"
"2021/09/24","26","26.05","26","26","0","0.00","37"
"2021/09/23","25.75","26","25.75","26","0.25","0.97","47"
"2021/09/22","25.65","25.9","25.65","25.75","-0.1999999999999993","-0.77","60"
"2021/09/17","25.85","25.95","25.85","25.95","0.09999999999999787","0.39","62"
"2021/09/16","26.1","26.1","25.85","25.85","-0.04999999999999716","-0.19","68"
"2021/09/15","26.05","26.05","25.9","25.9","0","0.00","41"
"2021/09/14","26","26","25.75","25.9","0.14999999999999858","0.58","30"
"2021/09/13","25.75","25.85","25.65","25.75","0","0.00","82"
"2021/09/10","25.7","26.15","25.7","25.75","0.05000000000000071","0.19","24"
"2021/09/09","25.3","25.8","25.3","25.7","0.3999999999999986","1.58","49"
"2021/09/08","25.7","25.85","25.3","25.3","-0.3999999999999986","-1.56","157"
"2021/09/07","25.9","26.05","25.7","25.7","-0.1999999999999993","-0.77","67"
"2021/09/06","26.15","26.2","25.9","25.9","-0.20000000000000284","-0.77","86"
"2021/09/03","26.4","26.4","26.1","26.1","-0.29999999999999716","-1.14","95"
"2021/09/02","26.55","26.7","26.4","26.4","-0.20000000000000284","-0.75","95"
"2021/09/01","26","26.8","26","26.6","0.6000000000000014","2.31","176"
"2021/08/31","25.9","26","25.65","26","0.3000000000000007","1.17","68"
"2021/08/30","25.35","25.8","25.35","25.7","0.34999999999999787","1.38","85"
"2021/08/27","25.4","25.55","25.35","25.35","-0.04999999999999716","-0.20","102"
"2021/08/26","25.55","25.55","25.4","25.4","-0.15000000000000213","-0.59","99"
"2021/08/25","25.65","25.7","25.5","25.55","-0.05000000000000071","-0.20","126"
"2021/08/24","26","26","25.5","25.6","-0.09999999999999787","-0.39","119"
"2021/08/23","25.45","25.8","25.45","25.7","-2","-7.22","297"
"2021/08/20","27.45","27.8","27.3","27.7","0.25","0.91","475"
"2021/08/19","27.75","27.75","27.4","27.45","-0.1999999999999993","-0.72","254"
