Date	Open	High	Low	Close	Volume('000 shares)	Date
2014/05/29	23.6	23.7	23.4	23.45	648.135	2014/5/29
2014/05/30	23.65	23.65	23.2	23.2	1124.94	2014/5/30
2014/06/03	23.2	23.3	23.15	23.3	1251.93	2014/6/3
2014/06/04	23.2	23.2	22.8	22.8	2616.094	2014/6/4
2014/06/05	22.8	23.35	22.8	23.35	1673.698	2014/6/5
2014/06/06	23.5	23.85	23.35	23.8	3041.293	2014/6/6
2014/06/09	23.9	24.75	23.9	24.3	3982.049	2014/6/9
2014/06/10	24.3	24.65	24.15	24.2	3664.541	2014/6/10
2014/06/11	24.6	25.45	24.5	25.35	13191.863	2014/6/11
2014/06/12	25.5	25.55	25.05	25.35	7724.613	2014/6/12
2014/06/13	25.35	25.8	25.35	25.45	8986.814	2014/6/13
2014/06/16	25.8	27.2	25.75	26.8	12382.672	2014/6/16
2014/06/17	27.2	27.25	26.2	26.35	8465.694	2014/6/17
2014/06/18	26.35	26.55	25.6	25.9	6605.831	2014/6/18
2014/06/19	25.9	27.35	25.9	26.6	7963.588	2014/6/19
2014/06/20	26.65	26.8	26.3	26.5	3890.556	2014/6/20
2014/06/23	26.5	26.6	25.15	25.15	4546.257	2014/6/23
2014/06/24	25.2	25.9	25.2	25.9	2674.654	2014/6/24
2014/06/25	25.8	26.2	25.55	25.6	2695.354	2014/6/25
2014/06/26	25.7	26.3	25.5	25.9	2454.635	2014/6/26
2014/06/27	26.1	27.05	26.1	26.5	7525.518	2014/6/27
2014/06/30	26.85	27.2	26.7	26.8	6562.588	2014/6/30
2014/07/01	27.05	28.2	26.55	27.95	13936.917	2014/7/1
2014/07/02	28.45	28.9	27	27.05	10910.263	2014/7/2
2014/07/03	27.1	27.4	27.05	27.05	3073.476	2014/7/3
2014/07/04	27.1	27.55	27.1	27.15	2672.756	2014/7/4
2014/07/07	27.25	27.55	27.05	27.2	2793.152	2014/7/7
2014/07/08	27.35	27.65	27.15	27.2	2374.089	2014/7/8
2014/07/09	27.1	27.4	26.45	26.7	3515.041	2014/7/9
2014/07/10	26.7	27.1	26.7	26.95	2104.129	2014/7/10
2014/07/11	26.95	27	26	26.3	3985.443	2014/7/11
2014/07/14	26.3	26.45	25.9	26.3	4757.428	2014/7/14
2014/07/15	26.1	26.7	25.6	25.6	5530.552	2014/7/15
2014/07/16	25.6	26.1	25.5	25.65	2774.25	2014/7/16
2014/07/17	25.8	26.3	25.8	25.85	2557.786	2014/7/17
2014/07/18	26	26.7	25.9	26.5	4751.816	2014/7/18
2014/07/21	26.75	26.9	26.3	26.5	2541.567	2014/7/21
2014/07/22	26.8	26.8	25.85	25.95	4585.484	2014/7/22
2014/07/24	26	26	25.2	25.2	5939.683	2014/7/24
2014/07/25	25.3	25.4	24.8	24.95	3457.934	2014/7/25
2014/07/28	25	25.65	25	25.45	2677.848	2014/7/28
2014/07/29	25.6	25.8	25.4	25.5	3336.673	2014/7/29
2014/07/30	25.65	25.65	25.2	25.3	1451.953	2014/7/30
2014/07/31	25.4	25.5	25.25	25.45	1238.095	2014/7/31
2014/08/01	25	25.6	24.95	25.5	1329.436	2014/8/1
2014/08/04	25.5	26.45	25.5	25.95	5453.685	2014/8/4
2014/08/05	26	26.1	25.55	25.55	3493.85	2014/8/5
2014/08/06	25.75	25.75	24.15	24.55	4415.777	2014/8/6
2014/08/07	24.65	24.8	24.4	24.5	1427.601	2014/8/7
2014/08/08	24.5	24.5	23.75	24.1	2388.349	2014/8/8
2014/08/11	24.3	24.6	24.2	24.5	1417.207	2014/8/11
2014/08/12	24.5	24.55	24.1	24.2	1730.708	2014/8/12
2014/08/13	24.1	24.3	24	24.15	1744.074	2014/8/13
2014/08/14	24.2	24.25	24	24	1288.22	2014/8/14
2014/08/15	24.2	24.5	24.05	24.3	1824.333	2014/8/15
2014/08/18	24.35	24.55	24	24.05	980.232	2014/8/18
2014/08/19	24.25	24.3	24	24.25	1406.09	2014/8/19
2014/08/20	24.3	24.3	23.7	23.75	2815.701	2014/8/20
2014/08/21	23.85	23.9	23.6	23.6	2185.01	2014/8/21
2014/08/22	23.8	24.95	23.6	24.95	4085.024	2014/8/22
2014/08/25	25.2	25.4	24.95	25.35	5314.7	2014/8/25
2014/08/26	25.45	25.6	25.05	25.1	3867.268	2014/8/26
2014/08/27	25.3	25.35	24.9	25.05	2703.861	2014/8/27
2014/08/28	25.05	25.15	24.9	25	2115	2014/8/28
2014/08/29	25.1	25.5	25	25	3459.392	2014/8/29
2014/09/01	25.1	25.2	24.95	25.05	1283.205	2014/9/1
2014/09/02	25.05	25.15	24.6	24.6	1728.813	2014/9/2
2014/09/03	24.7	25.05	24.6	24.95	1613.398	2014/9/3
2014/09/04	25.05	25.2	24.8	24.8	1218.182	2014/9/4
2014/09/05	25.1	25.5	24.9	25.05	2806.162	2014/9/5
2014/09/09	25.2	25.3	24.75	24.8	1387.649	2014/9/9
2014/09/10	24.7	24.75	24.1	24.2	2967.27	2014/9/10
2014/09/11	24.2	24.25	23.9	24	2847.633	2014/9/11
2014/09/12	24	24	23.65	23.85	2899.699	2014/9/12
2014/09/15	23.6	24.2	23.6	24	1642.746	2014/9/15
2014/09/16	24.2	24.2	23.7	23.75	1799.912	2014/9/16
2014/09/17	23.8	24.05	23.8	23.9	1061.493	2014/9/17
2014/09/18	24.1	24.3	23.9	24.1	828.581	2014/9/18
2014/09/19	24.3	24.5	24.1	24.1	1117.81	2014/9/19
2014/09/22	24.1	24.1	23.8	23.85	1038.23	2014/9/22
2014/09/23	23.75	24.1	23.7	23.8	1154.294	2014/9/23
2014/09/24	23.8	24	23.7	23.9	975.727	2014/9/24
2014/09/25	24	24	23.7	23.7	990.224	2014/9/25
2014/09/26	23.3	23.6	23.05	23.3	1201.993	2014/9/26
2014/09/29	23.35	23.5	23.1	23.1	891.424	2014/9/29
2014/09/30	23	23.45	22.85	22.95	2656.141	2014/9/30
